id;user_id;product_id;stock_status;status_update_time;created_time;updated_time;created_by;updated_by
1;1547;44234;false;2022-06-12T10:52:16;2022-06-12T09:20:12;2022-06-13T04:42:53;solid;Account
2;20704;50155;false;2022-06-12T12:10:02;2022-06-12T11:39:16;2022-06-12T13:01:06;Knoll silver;architect Handmade Producer
3;46380;68319;false;2022-06-12T16:02:05;2022-06-12T08:42:43;2022-06-13T05:58:24;deposit Camp;cross-platform
4;76182;78638;false;2022-06-13T08:02:25;2022-06-12T08:39:18;2022-06-12T20:02:53;Incredible reboot Unbranded;eyeballs
5;17693;72737;true;2022-06-12T12:39:48;2022-06-12T21:54:49;2022-06-13T03:21:13;e-tailers online;24/7
6;20665;71686;false;2022-06-12T17:03:58;2022-06-13T06:06:47;2022-06-12T10:49:09;invoice Branding override;National Sleek
7;64555;49296;true;2022-06-13T02:39:54;2022-06-13T07:20:03;2022-06-12T12:04:48;Vanuatu distributed Shilling;Uruguayo
8;3722;78405;true;2022-06-13T03:39:15;2022-06-12T18:35:57;2022-06-13T03:57:56;clicks-and-mortar Borders relationships;incremental attitude-oriented
9;91379;70542;true;2022-06-13T00:13:24;2022-06-13T01:57:31;2022-06-12T17:34:00;bandwidth wireless back;Account Chilean
10;61651;12549;false;2022-06-12T14:02:58;2022-06-12T17:10:32;2022-06-13T02:01:45;payment Integrated;Unbranded Gloves Loan
